Source,AAE,Wavelengths used,Reference
Diesel vehicles,1.07±0.14 (1.06±0.17),470/880 (375/880),This study
,0.97 ± 0.18,470/880,Blanco-Donado et al. (2022)
,1.2±0.10,470/950,Helin et al. (2021)
,1.03,370/880,Park et al. (2020)
Traffic road,1.15±0.07 (1.09±0.11),470/880 (375/880),This study
,1.1,470/880,Sandradewi et al. (2008)
Plastics,1.30±0.08 (1.26±0.07),470/880 (375/880),This study
,1.38,370/880,Goetz et al. (2018)
Cooking (firewood),1.78±0.04 (1.97±0.10),470/880 (375/880),This study
,1.88 ± 0.49,470/880,Blanco-Donado et al. (2022)
Garden waste ,1.92±0.10 (2.62±0.20),470/880 (375/880),This study
,2.37,370/880,Goetz et al. (2018)
Mixed waste,2.19±0.75 (2.62±0.20),470/880 (375/880),This study
,0.87,370/880,Goetz et al. (2018)
,1.22,370/880,Goetz et al. (2018)
,0.971,405/870,Stockwell et al. (2016)
