id,emission_source,exp_type,aae_raw_data,aae_wo_bg_corr,aae_bg_corr,wavelength,root_source
100,Textiles,waste_burning,1.0594655862717344,1.0581003619302574,1.0530182865521442,uv_ir,ff
101,Textiles,waste_burning,1.1503149739727143,1.1495504188776404,1.1367939688349216,uv_ir,ff
102,Textiles,waste_burning,1.115682410898805,1.0596251763194524,1.0446297017729875,uv_ir,ff
103,Plastics,waste_burning,1.3415353713594815,1.3415353713594815,1.3360793751610596,uv_ir,ff
104,Plastics,waste_burning,1.215229854811205,1.215229854811205,1.2053179204282483,uv_ir,ff
105,Plastics,waste_burning,1.2604590147752617,1.2604590147752617,1.2377151711669219,uv_ir,ff
106,Cardboard*,waste_burning,1.5570593659918455,1.552572792346371,1.539957447311147,uv_ir,bb
107,Cardboard*,waste_burning,2.6384433856223395,2.557202873795518,3.1106205704989636,uv_ir,bb
108,Cardboard*,waste_burning,2.749930237618121,2.7883153124223092,2.9486832915534986,uv_ir,bb
109,Diesel truck,vehicles,1.0973049825916315,1.0973049825916315,1.0548599675420263,uv_ir,ff
110,Diesel truck,vehicles,1.154751002809513,1.154751002809513,0.9054269539125263,uv_ir,ff
111,Diesel truck,vehicles,1.2759521199185244,1.2759521199185244,1.2453809479669278,uv_ir,ff
112,Mixed waste,waste_burning,2.0165788873646293,2.648998292821899,3.9652648901070298,uv_ir,mixed
113,Mixed waste,waste_burning,2.1239594461411193,2.1257585431574686,2.2702719551271224,uv_ir,mixed
114,Mixed waste,waste_burning,1.659709009510367,1.7658768648363943,2.5193525641165553,uv_ir,mixed
115,Mixed waste,waste_burning,2.599706024694489,2.6255728642027942,2.678071648130523,uv_ir,mixed
116,Mixed waste,waste_burning,3.285480775214272,3.292669440436534,3.6356238652259596,uv_ir,mixed
117,Mixed waste,waste_burning,1.7036787972200542,1.7055381076253624,1.717897239394611,uv_ir,mixed
118,Traffic road,vehicles,1.1814595450200929,1.1792205490646988,1.005477518622326,uv_ir,ff
119,Traffic road,vehicles,1.325786898505704,1.3255264911898175,1.220036587925483,uv_ir,ff
120,Traffic road,vehicles,1.1542193013602773,1.1542193013602773,1.0487236045342345,uv_ir,ff
121,Wood,cooking,1.9140019503679875,1.9140019503679875,1.9185739891807685,uv_ir,bb
122,Wood,cooking,1.8704146003443425,1.8845666070518596,1.9025980453185882,uv_ir,bb
123,Wood,cooking,2.0609148811437876,2.0609148811437876,2.0848918614094343,uv_ir,bb
97,Garden waste,waste_burning,2.3916215624273134,2.3841117169414194,2.406941744532477,uv_ir,bb
98,Garden waste,waste_burning,2.5821711628763033,2.5821711628763033,2.6523984294964587,uv_ir,bb
99,Garden waste,waste_burning,2.7544050417258874,2.757782983490991,2.807360818183151,uv_ir,bb
100,Textiles,waste_burning,1.1498962677886777,1.1557159883735582,1.1531640794514375,blue_ir,ff
101,Textiles,waste_burning,1.2452071517059284,1.2368374508037112,1.2289405253045975,blue_ir,ff
102,Textiles,waste_burning,1.1896159867421803,1.1495962799303912,1.1412436354456434,blue_ir,ff
103,Plastics,waste_burning,1.384079270190162,1.384079270190162,1.3819087334211364,blue_ir,ff
104,Plastics,waste_burning,1.2984419494819417,1.2984419494819417,1.293911473651688,blue_ir,ff
105,Plastics,waste_burning,1.2463397277666042,1.2463397277666042,1.2310044373062785,blue_ir,ff
106,Cardboard*,waste_burning,1.4161682005012943,1.4169724621387807,1.398066961483809,blue_ir,bb
107,Cardboard*,waste_burning,2.0367022302726734,1.9062356900707877,2.255696994806824,blue_ir,bb
108,Cardboard*,waste_burning,1.8914086445030938,1.9691257906620854,2.0605209416421095,blue_ir,bb
109,Diesel truck,vehicles,1.0831479375718562,1.0831479375718562,1.0518667221820466,blue_ir,ff
110,Diesel truck,vehicles,1.1253743061412358,1.1253743061412358,0.9444062256539016,blue_ir,ff
111,Diesel truck,vehicles,1.244522237197086,1.244522237197086,1.222654185682302,blue_ir,ff
112,Mixed waste,waste_burning,1.3452724064353447,1.5180043536619154,1.5841460782479522,blue_ir,mixed
113,Mixed waste,waste_burning,1.6576652451207796,1.6518248057568932,1.7045292485396453,blue_ir,mixed
114,Mixed waste,waste_burning,1.901110537467548,1.8593842913682308,3.3422812175877006,blue_ir,mixed
115,Mixed waste,waste_burning,2.3237371888022036,2.3129770992127736,2.362510320905587,blue_ir,mixed
116,Mixed waste,waste_burning,2.427173270018939,2.429448859589677,2.716249273926363,blue_ir,mixed
117,Mixed waste,waste_burning,1.44586803271139,1.4470890562981977,1.4401583246212404,blue_ir,mixed
118,Traffic road,vehicles,1.2142529248336305,1.2142529248336305,1.1106630622573335,blue_ir,ff
119,Traffic road,vehicles,1.3016881120223083,1.301083777657794,1.2330055891804421,blue_ir,ff
120,Traffic road,vehicles,1.1914600022195854,1.1914600022195854,1.1284160214018106,blue_ir,ff
121,Wood,cooking,1.7832283531668096,1.7832283531668096,1.7876451923923624,blue_ir,bb
122,Wood,cooking,1.7290612987651874,1.7180487820768724,1.733733593612079,blue_ir,bb
123,Wood,cooking,1.7879513461667094,1.7879513461667094,1.8048947944283178,blue_ir,bb
97,Garden waste,waste_burning,1.803706643497446,1.798521118103195,1.8095754443500107,blue_ir,bb
98,Garden waste,waste_burning,1.899253732283472,1.899253732283472,1.9375160175359014,blue_ir,bb
99,Garden waste,waste_burning,1.9891652659795092,1.989346089373285,2.0182616889996634,blue_ir,bb
